source_file,evaluation_number,timestamp_raw,filled_feedbacks,questions_count
feedback_eigene Evaluation-01.csv,1,"Sonntag, 9. November 2025, 22:34",33,46
feedback_eigene Evaluation-02.csv,2,"Sonntag, 9. November 2025, 22:34",35,46
feedback_eigene Evaluation-03.csv,3,"Sonntag, 9. November 2025, 22:34",33,46
feedback_eigene Evaluation-04.csv,4,"Sonntag, 9. November 2025, 22:52",43,46
feedback_eigene Evaluation-05.csv,5,"Sonntag, 9. November 2025, 22:52",41,46
feedback_eigene Evaluation-06.csv,6,"Sonntag, 9. November 2025, 22:51",30,46
feedback_eigene Evaluation-07.csv,7,"Sonntag, 9. November 2025, 22:50",33,46
feedback_eigene Evaluation-08.csv,8,"Sonntag, 9. November 2025, 22:50",10,46
feedback_eigene Evaluation-09.csv,9,"Sonntag, 9. November 2025, 22:51",7,46
feedback_eigene Evaluation-10.csv,10,"Sonntag, 9. November 2025, 22:51",34,46
feedback_Eigene Evaluation-11.csv,11,"Sonntag, 9. November 2025, 22:51",40,46
feedback_eigene Evaluation-12.csv,12,"Sonntag, 9. November 2025, 22:52",58,46
feedback_eigene Evaluation-13.csv,13,"Sonntag, 9. November 2025, 22:34",33,46
feedback_eigene Evaluation-14.csv,14,"Sonntag, 9. November 2025, 22:34",35,46
feedback_eigene Evaluation-15.csv,15,"Sonntag, 9. November 2025, 22:34",33,46
feedback_eigene Evaluation-16.csv,16,"Montag, 10. November 2025, 17:47",19,46
feedback_eigene Evaluation-17.csv,17,"Montag, 10. November 2025, 17:47",17,46
feedback_eigene Evaluation-18.csv,18,"Montag, 10. November 2025, 17:48",8,46
feedback_eigene Evaluation-19.csv,19,"Montag, 10. November 2025, 17:48",4,46
feedback_eigene Evaluation-20.csv,20,"Montag, 10. November 2025, 17:49",5,46
feedback_eigene Evaluation-21.csv,21,"Sonntag, 9. November 2025, 22:51",27,46
feedback_eigene Evaluation-22.csv,22,"Sonntag, 9. November 2025, 22:51",32,46
feedback_eigene Evaluation-23.csv,23,"Sonntag, 9. November 2025, 22:50",16,46
feedback_eigene Evaluation-24.csv,24,"Sonntag, 9. November 2025, 22:34",33,46
feedback_eigene Evaluation-25.csv,25,"Sonntag, 9. November 2025, 22:52",43,46
feedback_eigene Evaluation-26.csv,26,"Sonntag, 9. November 2025, 22:51",30,46
feedback_eigene Evaluation-27.csv,27,"Sonntag, 9. November 2025, 22:51",7,46
feedback_Eigene Evaluation-28.csv,28,"Sonntag, 9. November 2025, 22:51",40,46
feedback_eigene Evaluation-29.csv,29,"Sonntag, 9. November 2025, 22:34",33,46
feedback_eigene Evaluation-30.csv,30,"Montag, 10. November 2025, 17:47",19,46
feedback_eigene Evaluation-31.csv,31,"Montag, 10. November 2025, 17:48",8,46
feedback_eigene Evaluation-32.csv,32,"Montag, 10. November 2025, 17:48",4,46
