item_index,question_text
1,Diese Berufliche Handlungssituation gefällt mir generell gut.
2,Die Lernatmosphäre ist angenehm.
3,Das Lernen macht mir Spaß.
4,Ich finde die Bearbeitung für meinen Beruf nützlich.
5,Zeit in die Bearbeitung zu investieren ist sinnvoll.
6,Ich kann die Bearbeitungsinhalte in meinem Beruf anwenden.
7,Ich ziehe persönlichen Nutzen aus der Bearbeitung.
8,Die Inhalte sind verständlich.
9,Die Sprache (Fremd- und Fachwörter) ist verständlich.
10,Ich komme thematisch mit.
11,Die Zeit ist ausreichend für die bearbeiteten Themen.
12,"Ich habe den Eindruck, mein Wissen erweitert sich langfristig."
13,Ich kann mir die neuen Themen gut merken.
14,"Ich denke, ich werde auch einige Zeit nach der Bearbeitung noch berichten können, was ich gelernt habe."
15,Ich werde das Gelernte im beruflichen Alltag anwenden.
16,"Ich finde es gut, dass die beruflichen Handlungssituationen vermittelt bzw. besprochen werden."
17,Ich würde die Bearbeitung der Inhalte meinen Kollegen empfehlen.
18,Es werden zuerst Probleme thematisiert und durch ihre Bearbeitung lerne ich somit die Themen.
19,Ich kann echte Probleme bearbeiten und darin die zuvor gelernten Inhalte vertiefen.
20,Es werden wahre Vorfälle aus meinem Arbeitsalltag vorgestellt und durch das selbständige Entwickeln von Lösungen kann ich die Themen vertiefen.
21,"Es werden Situationen aus dem Arbeitsalltag vorgestellt und ich muss herausfinden, was das mit dem jeweiligen Thema zu tun hat."
22,"Es werden problematische Situationen aus dem Arbeitsalltag vorgestellt und ich muss herausfinden, mit welchen Fähigkeiten/welchem Wissen die Situation hätte verbessert werden können."
23,"In der beruflichen Handlungssituation werden Situationen vorgestellt, die ich dann auf die jeweilige Aufgabe hin genauer betrachte."
24,Ich kann mein eigenes Wissen in die Bearbeitung mit einbringen.
25,Auf meine bisherigen Erfahrungen zu den behandelten Themen wird eingegangen.
26,Ich kann mein berufliches Wissen in die Bearbeitung mit einbringen.
27,Ich kann meine bisherigen beruflichen Erlebnisse einbringen.
28,"Die Lernbegleiter*innen fordern mich auf, mein Wissen und meine Erlebnisse bei der Bearbeitung aus dem Berufsalltag einzubringen"
29,Inhalte werden mit konkreten Beispielen erläutert.
30,Die Lernziele sind mir bekannt.
31,Die Lernziele werden erreicht.
32,"Die Lernbegleiter*innen machen deutlich, welches die zentralen Punkte der besprochenen Themen sind."
33,"Am Anfang der beruflichen Handlungssituation werden die Ziele bekannt gegeben, die mit der Bearbeitung erreicht werden sollten."
34,Die eingesetzten Medien sind für mein Verständnis hilfreich.
35,Die eingesetzten Medien sind zur Präsentation der Inhalte geeignet.
36,Ich kann das Gelernte bei der Bearbeitung üben.
37,Ich bekomme bei der Bearbeitung Feedback zu meinem Verhalten / meiner Leistung.
38,Ich kann das Feedback umsetzen und bei der Bearbeitung an meinem Verhalten / meiner Leistung arbeiten.
39,"Bei der Bearbeitung habe ich die Möglichkeit, Dinge, die ich später in der Arbeit umsetzen soll, schon einmal auszuprobieren."
40,"Das Feedback aus der Bearbeitung hilft mir, weiter am Gelernten zu arbeiten."
41,Inhalte werden in Diskussionen vertieft.
42,Ich habe Gelegenheit das Gelernte zu reflektieren.
43,"In der Diskussion erfahre ich, dass Kollegen andere Sichtweisen zu den behandelten Themen haben."
44,Ich kenne die Wichtigkeit der einzelnen Themen für unterschiedliche Situationen
45,"Mir ist klar, wie ich die behandelten Inhalte im Arbeitsalltag anwenden kann."
46,Was muss in Bezug zur Evaluation dieser beruflicher Handlungssituationen noch gesagt werden?
