RespondentID,Wie werden komplexe Themen im LMS aufbereitet und wie beeinflusst das Ihre Lernprozesse?,Welche Rolle spielen multimediale Inhalte im LMS für Ihr Verständnis?,Wie bewerten Sie die Klarheit und Struktur der im LMS präsentierten Informationen?,Auf welche Weise fördert das LMS aktive Diskussionen und Austausch mit anderen?,Wie unterstützt das LMS Gruppenarbeit und Kollaboration unter den Lernenden?,Welchen Einfluss hat die Benutzeroberfläche des LMS auf Ihre Interaktionsmöglichkeiten?,"Wie zeitnah und hilfreich ist das Feedback, das Sie im LMS erhalten?""",Inwiefern unterstützen die Bewertungssysteme im LMS Ihr Verständnis über Ihren Lernfortschritt?,Welche Rolle spielen Selbstbewertungstools im LMS für Ihre Selbsteinschätzung?,"Wie passt sich das LMS an Ihre individuellen Lernbedürfnisse an?""","Gibt es Möglichkeiten im LMS, Lerninhalte nach Ihren Interessen und Stärken zu personalisieren?""","Wie bewerten Sie die Flexibilität des LMS in Bezug auf individuelle Lernbedürfnisse?""
","Wie einfach ist es, auf verschiedene Ressourcen im LMS zuzugreifen?",Wie nahtlos integriert das LMS externe Lernmaterialien oder -werkzeuge?,Wie bewerten Sie die Barrierefreiheit und Zugänglichkeit des LMS für alle Lernenden.
R001,,,,,,,,,,,,,,,
R002,4,5,4,5,4,4,4,2,3,1,Ja,2,5,3,3
R003,4,3,4,3,3,4,3,4,4,3,Ja,4,3,2,3
R004,3,2,2,3,3,4,2,4,4,3,Ja,4,3,2,4
R005,3,2,3,2,2,1,2,1,2,2,Nein,2,2,4,3
R006,3,1,3,5,5,3,2,2,2,1,Ja,2,3,3,3
R007,3,4,3,3,4,2,2,4,4,3,Nein,2,3,2,3
R008,4,4,3,2,3,4,4,3,2,4,Ja,3,5,3,5
R009,3,4,3,3,3,3,2,3,4,3,Nein,3,4,3,4
R010,4,4,4,3,4,3,3,4,4,4,Ja,4,2,2,3
R011,4,4,3,2,3,4,4,2,4,2,Ja,3,2,3,4
R012,3,4,3,2,2,2,2,3,3,3,Ja,3,2,2,2
R013,3,5,3,4,3,5,2,3,3,2,Nein,3,2,3,4
R014,3,2,3,3,2,2,3,1,3,3,Ja,4,2,2,3
R015,4,3,4,2,4,5,5,4,4,5,Ja,5,3,4,3
R016,4,4,3,4,4,3,4,3,2,2,Ja,3,3,2,4
R017,3,5,4,5,4,3,4,5,4,2,Ja,3,5,2,3
R018,3,4,3,4,4,4,4,4,3,4,Ja,3,4,3,4
R019,3,4,3,4,3,3,2,2,3,3,Ja,4,3,4,2
R020,3,4,3,4,4,3,2,2,2,3,Nein,3,2,2,2
R021,4,5,3,4,5,2,2,2,1,2,Nein,2,4,3,2
R022,,,,,,,,,,,,,,,
R023,3,4,4,5,4,4,3,4,3,3,Ja,3,4,2,2
R024,,,,,,,,,,,,,,,
R025,,,,,,,,,,,,,,,
R026,,,,,,,,,,,,,,,
R027,,,,,,,,,,,,,,,
R028,4,4,5,4,5,4,4,3,5,4,Ja,4,5,4,4
R029,5,5,3,4,4,4,3,2,2,3,Ja,3,5,4,4
R030,3,3,3,4,4,3,3,3,3,3,Ja,4,4,3,5
R031,4,3,5,2,5,3,3,3,2,3,Ja,5,5,4,5
R032,4,5,4,4,3,4,2,4,2,4,Ja,3,4,4,3
R033,4,4,5,2,3,4,4,3,5,3,Ja,3,4,5,5
R034,,,,,,,,,,,,,,,
R035,4,5,4,3,4,2,4,2,3,1,Nein,3,4,4,3
R036,3,4,2,3,2,4,3,2,1,2,Nein,2,2,2,1
R037,3,4,3,2,4,4,3,3,3,3,Ja,2,3,3,4
R038,3,5,4,3,3,3,2,5,4,4,Ja,4,3,3,5
