Item,Spalte,n,Mittelwert,SD,Median,IQR,Pct_Zustimmung_>=4,Pct_Ablehnung_<=2
Wie werden komplexe Themen im LMS aufbereitet und wie beeinflusst das Ihre Lernprozesse?,Wie werden komplexe Themen im LMS aufbereitet und wie beeinflusst das Ihre Lernprozesse?,31,3.4838709677419355,0.5698518954918891,3.0,1.0,45.16129032258064,0.0
Welche Rolle spielen multimediale Inhalte im LMS für Ihr Verständnis?,Welche Rolle spielen multimediale Inhalte im LMS für Ihr Verständnis?,31,3.838709677419355,1.0359142240407226,4.0,1.0,74.19354838709677,12.903225806451612
Wie bewerten Sie die Klarheit und Struktur der im LMS präsentierten Informationen?,Wie bewerten Sie die Klarheit und Struktur der im LMS präsentierten Informationen?,31,3.4193548387096775,0.7648177799705886,3.0,1.0,38.70967741935484,6.451612903225806
Auf welche Weise fördert das LMS aktive Diskussionen und Austausch mit anderen?,Auf welche Weise fördert das LMS aktive Diskussionen und Austausch mit anderen?,31,3.3225806451612905,1.0128210363202885,3.0,1.5,45.16129032258064,25.806451612903224
Wie unterstützt das LMS Gruppenarbeit und Kollaboration unter den Lernenden?,Wie unterstützt das LMS Gruppenarbeit und Kollaboration unter den Lernenden?,31,3.5483870967741935,0.8883959206502229,4.0,1.0,54.83870967741935,12.903225806451612
Welchen Einfluss hat die Benutzeroberfläche des LMS auf Ihre Interaktionsmöglichkeiten?,Welchen Einfluss hat die Benutzeroberfläche des LMS auf Ihre Interaktionsmöglichkeiten?,31,3.3225806451612905,0.9447079539622655,3.0,1.0,48.38709677419355,19.35483870967742
"Wie zeitnah und hilfreich ist das Feedback, das Sie im LMS erhalten?","Wie zeitnah und hilfreich ist das Feedback, das Sie im LMS erhalten?""",31,2.967741935483871,0.9122817900824991,3.0,2.0,32.25806451612903,38.70967741935484
Inwiefern unterstützen die Bewertungssysteme im LMS Ihr Verständnis über Ihren Lernfortschritt?,Inwiefern unterstützen die Bewertungssysteme im LMS Ihr Verständnis über Ihren Lernfortschritt?,31,2.967741935483871,1.048296108541282,3.0,2.0,32.25806451612903,35.483870967741936
Welche Rolle spielen Selbstbewertungstools im LMS für Ihre Selbsteinschätzung?,Welche Rolle spielen Selbstbewertungstools im LMS für Ihre Selbsteinschätzung?,31,3.032258064516129,1.048296108541282,3.0,2.0,35.483870967741936,32.25806451612903
Wie passt sich das LMS an Ihre individuellen Lernbedürfnisse an?,"Wie passt sich das LMS an Ihre individuellen Lernbedürfnisse an?""",31,2.838709677419355,0.9694250596289323,3.0,1.0,22.58064516129032,32.25806451612903
"Gibt es Möglichkeiten im LMS, Lerninhalte nach Ihren Interessen und Stärken zu personalisieren?","Gibt es Möglichkeiten im LMS, Lerninhalte nach Ihren Interessen und Stärken zu personalisieren?""",31,0.7419354838709677,0.4448027229745693,1.0,0.5,0.0,100.0
Wie bewerten Sie die Flexibilität des LMS in Bezug auf individuelle Lernbedürfnisse?,"Wie bewerten Sie die Flexibilität des LMS in Bezug auf individuelle Lernbedürfnisse?""
",31,3.161290322580645,0.8601075201604501,3.0,1.0,32.25806451612903,22.58064516129032
"Wie einfach ist es, auf verschiedene Ressourcen im LMS zuzugreifen?","Wie einfach ist es, auf verschiedene Ressourcen im LMS zuzugreifen?",31,3.3870967741935485,1.085584922360252,3.0,1.5,45.16129032258064,25.806451612903224
Wie nahtlos integriert das LMS externe Lernmaterialien oder -werkzeuge?,Wie nahtlos integriert das LMS externe Lernmaterialien oder -werkzeuge?,31,2.967741935483871,0.8749807985604383,3.0,2.0,29.03225806451613,35.483870967741936
